SHIPNUM,DATESHIPPED,CUSTOMERNUMBER,MODEL1,IMEI1
S160284,6/3/2025,2387,SM-S721BLBKTPA,351976370098176
S160306,6/5/2025,1960,SM-S721BZAKTPA,351976370273027
S160306,6/5/2025,1960,SM-S721BZAKTPA,351976370273076
S160306,6/5/2025,1960,SM-S721BZAKTPA,351976370272763
S160306,6/5/2025,1960,SM-S721BZAKTPA,351976370274678
S160306,6/5/2025,1960,SM-S721BZAKTPA,351976370274058
S160306,6/5/2025,1960,SM-S721BZAKTPA,351976370274835
S160337,6/5/2025,457,SM-S721BLBKTPA,351976370095230
S160337,6/5/2025,457,SM-S721BLBKTPA,351976370095404
S160337,6/5/2025,457,SM-S721BLBKTPA,351976370099430
S160337,6/5/2025,457,SM-S721BLBKTPA,351976370097475
S160337,6/5/2025,457,SM-S721BLBKTPA,351976370098945
S160337,6/5/2025,457,SM-S721BZAKTPA,351976370809812
S160337,6/5/2025,457,SM-S721BZAKTPA,351976370819936
S160337,6/5/2025,457,SM-S721BZAKTPA,351976370821577
S160337,6/5/2025,457,SM-S721BZAKTPA,351976370821486
S160337,6/5/2025,457,SM-S721BZAKTPA,351976370822435
S160337,6/5/2025,457,SM-S721BZAKTPA,351976370810109
S160337,6/5/2025,457,SM-S721BZAKTPA,351976370809549
S160337,6/5/2025,457,SM-S721BZAKTPA,351976370809341
S160337,6/5/2025,457,SM-S721BZAKTPA,351976370809481
S160337,6/5/2025,457,SM-S721BZAKTPA,351976370837409
S160339,6/5/2025,2241,SM-S721BZAKTPA,351976370272029
S160339,6/5/2025,2241,SM-S721BZAKTPA,351976370273498
S160339,6/5/2025,2241,SM-S721BZKKTPA,351976370079218
S160339,6/5/2025,2241,SM-S721BZKKTPA,351976370078731
S160341,6/5/2025,2551,SM-S721BZAKTPA,351976370808020
S160341,6/5/2025,2551,SM-S721BZAKTPA,351976370808772
S160341,6/5/2025,2551,SM-S721BZAKTPA,351976370808285
S160341,6/5/2025,2551,SM-S721BZAKTPA,351976370808640
S160341,6/5/2025,2551,SM-S721BZAKTPA,351976370809150
S160341,6/5/2025,2551,SM-S721BZAKTPA,351976370809085
S160341,6/5/2025,2551,SM-S721BZAKTPA,351976370808368
S160341,6/5/2025,2551,SM-S721BZAKTPA,351976370808889
S160341,6/5/2025,2551,SM-S721BZAKTPA,351976370808582
S160341,6/5/2025,2551,SM-S721BZAKTPA,351976370809283
S160341,6/5/2025,2551,SM-S721BZAKTPA,351976370808186
S160341,6/5/2025,2551,SM-S721BZAKTPA,351976370808723
S160341,6/5/2025,2551,SM-S721BZAKTPA,351976370808046
S160341,6/5/2025,2551,SM-S721BZAKTPA,351976370808707
S160341,6/5/2025,2551,SM-S721BZAKTPA,351976370808939
S160342,6/5/2025,993,SM-S721BZAKTPA,351976370807774
S160342,6/5/2025,993,SM-S721BZAKTPA,351976370808251
S160342,6/5/2025,993,SM-S721BZAKTPA,351976370807584
