Vitel Mobile Inc,,,,,,,,,,,,,,,,
Inventory Valuation Summary,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,
,Part #,Description,,,Asset Account,,,,,Qty,, ,,Unit Cost,Asset Value,
Alan,,,,,,,,,,,,,,,,
Stock,,,,,,,,,,,,,,,,
,SM A366EZAGTPA,SAMSUNG GALAXY A36 5G 8+256GB AWESOME WHITE,,,Default,,,,,30,,ea,,$ 260.00,"$ 7,800.00",
,SM A366EZKDTPA,SAMSUNG GALAXY A36 5G 8+128GB AWESOME BLACK,,,Default,,,,,53,,ea,,$ 235.00,"$ 12,455.00",
,SM A566ELIATPA,SAMSUNG GALAXY A56 5G 8+128GB AWESOME PINK,,,Default,,,,,1,,ea,,$ 310.00,$ 310.00,
,SM A566EZAATPA,SAMSUNG GALAXY A56 5G 8+128GB AWESOME LIGHTGRAY,,,Default,,,,,365,,ea,,$ 308.37,"$ 112,555.25",
,SM A566EZGATPA,SAMSUNG GALAXY A56 5G 8+128GB AWESOME OLIVE,,,Default,,,,,385,,ea,,$ 310.00,"$ 119,349.99",
,SM A566EZGDTPA,SAMSUNG GALAXY A56 5G 12+256GB AWESOME OLIVE,,,Default,,,,,1,,ea,,$ 340.00,$ 340.00,
,SM A566EZKATPA,SAMSUNG GALAXY A56 5G 8+128GB AWESOME GRAPHITE,,,Default,,,,,455,,ea,,$ 310.00,"$ 141,050.00",
,,,,,,,,,,,,,Location Total:,,"$ 393,860.24",
,,,,,,,,,,,,Location Group Total:,,,"$ 393,860.24",
FTZ,,,,,,,,,,,,,,,,
Shipping,,,,,,,,,,,,,,,,
,SM A065MLBDTPA,SAMSUNG GALAXY A06 4+64GB LIGHT BLUE,,,Default,,,,,"1,080",,ea,,$ 70.00,"$ 75,600.00",
,SM A065MLBGTPA,SAMSUNG GALAXY A06 4+128GB LIGHT BLUE,,,Default,,,,,540,,ea,,$ 75.00,"$ 40,500.00",
,SM A065MLGDTPA,SAMSUNG GALAXY A06 4+64GB LIGHT GREEN,,,Default,,,,,"1,080",,ea,,$ 70.00,"$ 75,600.00",
,SM A065MLGGTPA,SAMSUNG GALAXY A06 4+128GB LIGHT GREEN,,,Default,,,,,520,,ea,,$ 75.00,"$ 39,000.00",
,SM A065MZKDTPA,SAMSUNG GALAXY A06 4+64GB BLACK,,,Default,,,,,740,,ea,,$ 70.00,"$ 51,800.00",
,SM A065MZKGTPA,SAMSUNG GALAXY A06 4+128GB BLACK,,,Default,,,,,640,,ea,,$ 75.00,"$ 48,000.00",
,SM X110NZAAL15,SAMSUNG GALAXY TAB A9 4+64GB GRAY,,,Default,,,,,290,,ea,,$ 82.00,"$ 23,780.00",
,SM X110NZSAL15,SAMSUNG GALAXY TAB A9 4+64GB SILVER,,,Default,,,,,260,,ea,,$ 82.00,"$ 21,320.00",
,SM X210NZAATPA,SAMSUNG GALAXY TAB A9 PLUS WIFI 4+64GB (NO COVER) GRAPHITE,,,Default,,,,,180,,ea,,$ 125.00,"$ 22,500.01",
,SM X210NZSATPA,SAMSUNG GALAXY TAB A9 PLUS WIFI 4+64GB (NO COVER) SILVER,,,Default,,,,,160,,ea,,$ 125.00,"$ 20,000.00",
,SM X210NZSETPA,SAMSUNG GALAXY TAB A9 PLUS WIFI 8+128GB (NO COVER) SILVER,,,Default,,,,,90,,ea,,$ 150.00,"$ 13,500.00",
