Location,Part #,Description,Qty
Shipping,SM A065MLBDTPA,SAMSUNG GALAXY A06 4+64GB LIGHT BLUE,"1,080"
Shipping,SM A065MLBGTPA,SAMSUNG GALAXY A06 4+128GB LIGHT BLUE,540
Shipping,SM A065MLGDTPA,SAMSUNG GALAXY A06 4+64GB LIGHT GREEN,"1,080"
Shipping,SM A065MLGGTPA,SAMSUNG GALAXY A06 4+128GB LIGHT GREEN,520
Shipping,SM A065MZKDTPA,SAMSUNG GALAXY A06 4+64GB BLACK,740
Shipping,SM A065MZKGTPA,SAMSUNG GALAXY A06 4+128GB BLACK,640
Shipping,SM X110NZAAL15,SAMSUNG GALAXY TAB A9 4+64GB GRAY,290
Shipping,SM X110NZSAL15,SAMSUNG GALAXY TAB A9 4+64GB SILVER,260
Shipping,SM X210NZAATPA,SAMSUNG GALAXY TAB A9 PLUS WIFI 4+64GB (NO COVER) GRAPHITE,180
Shipping,SM X210NZSATPA,SAMSUNG GALAXY TAB A9 PLUS WIFI 4+64GB (NO COVER) SILVER,160
Shipping,SM X210NZSETPA,SAMSUNG GALAXY TAB A9 PLUS WIFI 8+128GB (NO COVER) SILVER,90
Shipping,W SM R390NIDALTA,SAMSUNG GALAXY FIT 3 PINK GOLD,220
Shipping,W SM R390NZAALTA,SAMSUNG GALAXY FIT 3 GRAY,360
Shipping,W SM R390NZSALTA,SAMSUNG GALAXY FIT 3 SILVER,120
Shipping,SM A165MLGGTPA,SAMSUNG GALAXY A16 6+128GB LIGHT GREEN,320
Shipping,SM A165MZAGTPA,SAMSUNG GALAXY A16 6+128GB GRAY,320
Shipping,SM A166MLGGTPA,SAMSUNG GALAXY A16 5G 6+128GB LIGHT GREEN,235
Shipping,SM A166MLGITPA,SAMSUNG GALAXY A16 5G 8+256GB LIGHT GREEN,70
Shipping,SM A166MZAGTPA,SAMSUNG GALAXY A16 5G 6+128GB LIGHT GRAY,84
Shipping,SM A166MZAITPA,SAMSUNG GALAXY A16 5G 8+256GB LIGHT GRAY,60
Shipping,SM A166MZKGTPA,SAMSUNG GALAXY A16 5G 6+128GB BLUE BLACK,100
Shipping,SM A166MZKITPA,SAMSUNG GALAXY A16 5G 8+256GB BLUE BLACK,60
Shipping,SM A266MLGDTPA,SAMSUNG GALAXY A26 5G 6+128GB MINT,213
Shipping,SM A266MLGHTPA,SAMSUNG GALAXY A26 5G 8+256GB MINT,12
Shipping,SM A266MZKDTPA,SAMSUNG GALAXY A26 5G 6+128GB BLACK,375
Shipping,SM A266MZKHTPA,SAMSUNG GALAXY A26 5G 8+256GB BLACK,8
Shipping,SM A266MZWDTPA,SAMSUNG GALAXY A26 5G 6+128GB WHITE,255
Shipping,SM A366ELGDTPA,SAMSUNG GALAXY A36 5G 8+128GB AWESOME LIME,13
Shipping,SM A366ELGGTPA,SAMSUNG GALAXY A36 5G 8+256GB AWESOME LIME,5
Shipping,SM A366ELVDTPA,SAMSUNG GALAXY A36 5G 8+128GB AWESOME LAVENDER,13
Shipping,SM A366ELVGTPA,SAMSUNG GALAXY A36 5G 8+256GB AWESOME LAVENDER,7
Shipping,SM A366EZADTPA,SAMSUNG GALAXY A36 5G 8+128GB AWESOME WHITE,14
Shipping,SM A366EZAGTPA,SAMSUNG GALAXY A36 5G 8+256GB AWESOME WHITE,5
Shipping,SM A366EZKDTPA,SAMSUNG GALAXY A36 5G 8+128GB AWESOME BLACK,74
Shipping,SM A366EZKGTPA,SAMSUNG GALAXY A36 5G 8+256GB AWESOME BLACK,7
Shipping,SM A566EZADTPA,SAMSUNG GALAXY A56 5G 12+256GB AWESOME LIGHTGRAY,2
Shipping,SM A566EZGDTPA,SAMSUNG GALAXY A56 5G 12+256GB AWESOME OLIVE,22
Shipping,SM A566EZKDTPA,SAMSUNG GALAXY A56 5G 12+256GB AWESOME GRAPHITE,2
Shipping,SM S721BLBKTPA,SAMSUNG GALAXY S24 FE 8+256GB LIGHT BLUE,20
Shipping,SM S721BLBPTPA,SAMSUNG GALAXY S24 FE 8+512GB LIGHT BLUE,10
Shipping,SM S721BZAKTPA,SAMSUNG GALAXY S24 FE 8+256GB GRAY,20
Shipping,SM S721BZAPTPA,SAMSUNG GALAXY S24 FE 8+512GB GRAY,10
Shipping,SM S926BZAJTPA,SAMSUNG GALAXY S24 PLUS 256GB MARBLE GRAY,189
Shipping,SM S926BZAKTPA,SAMSUNG GALAXY S24 PLUS 512GB MARBLE GRAY,40
Shipping,SM S926BZKJTPA,SAMSUNG GALAXY S24 PLUS 256GB ONYX BLACK,156
Shipping,SM S926BZKKTPA,SAMSUNG GALAXY S24 PLUS 512GB ONYX BLACK,40
Shipping,SM S926BZVJTPA,SAMSUNG GALAXY S24 PLUS 256GB COBALT VIOLET,4
Shipping,SM S926BZVKTPA,SAMSUNG GALAXY S24 PLUS 512GB COBALT VIOLET,20
Shipping,SM S926BZYJTPA,SAMSUNG GALAXY S24 PLUS 256GB AMBER YELLOW,154
Shipping,SM S928BZKKTPA,SAMSUNG GALAXY S24 ULTRA 256GB TITANIUM BLACK,20
Shipping,SM S928BZKUTPA,SAMSUNG GALAXY S24 ULTRA 512GB TITANIUM BLACK,13
Shipping,SM S928BZTKTPA,SAMSUNG GALAXY S24 ULTRA 256GB TITANIUM GRAY,18
Shipping,SM S928BZVUTPA,SAMSUNG GALAXY S24 ULTRA 512GB TITANIUM VIOLET,71
